The Batman,8.5,9
Midnight Mass,7.7,8
I Know What You Did Last Summer,5.8,6
Jigeum Uri Hakgyoneun,7.6,7
South Park: Post Covid,7.6,8
Deep Blue Sea 3,4.7,7
Archive 81,7.4,7
Arcane: League of Legends,9.2,9
The Witcher,8.3,9
The Wheel of Time,7.2,8
Red Notice,6.4,7
Mao Gakuin no Futekigosha,7.5,8
No Time to Die,7.3,7
Dune: Part One,8.1,8
Ojing-eo geim,8.1,9
The Tomorrow War,6.6,7
The Matrix Reloaded,7.2,8
The Family Man,8.9,9
The Queen's Gambit,8.6,9
Turning Point: 9/11 and the War on Terror,8,8
F9,5.2,5
The Witcher: Nightmare of the Wolf,7.3,10
Jungle Cruise,6.6,7
The Suicide Squad,7.2,8
Fear Street: 1666,6.6,7
The Social Dilemma,7.6,8
AlphaGo,7.8,7
Sniper: Ghost Shooter,5.4,5
Minority Report,7.7,8
Resident Evil: Infinite Darkness,5.8,6
Fear Street: 1978,6.7,6
Fear Street: 1994,6.2,7
Zack Snyder's Justice League,8.1,7
Kingsglaive: Final Fantasy XV,6.7,8
Castlevania,8.3,10
Dota: Dragon's Blood,7.9,8
Army of the Dead,5.7,7
Resident Evil: Vendetta,6.2,7
Baiohazado: Damuneshon,6.4,7
Shadow and Bone,7.7,8
Mindhunter,8.6,10
House M.D.,8.8,8
Chappelle's Show,8.8,9
Rome,8.7,9
Peaky Blinders,8.8,8
The Mandalorian,8.8,10
Tears of the Sun,6.6,7
The Midnight Sky,5.6,6
Tenet,7.4,8
[REC] 4: Apocalipsis,5.4,7
Greenland,6.4,7
The Manchurian Candidate,6.6,7
Criminal: UK,7.6,7
No Country for Old Men,8.2,9
Cam,5.9,5
Blood of Zeus,7.6,8
Formula 1: Drive to Survive,8.7,7
Archer,8.7,8
Deep Impact,6.2,6
Project Power,6,6
A Cure for Wellness,6.4,8
The Babysitter: Killer Queen,5.8,6
Collateral,7.5,9
Ava,5.4,6
Top Gun,6.9,7
Kotetsujo no Kabaneri,7.2,9
The Outpost,6.8,7
Prisoners,8.1,8
Gate: Jieitai Kanochi nite; Kaku Tatakaeri,7.6,7
The Old Guard,6.6,7
Demon Slayer: Kimetsu No Yaiba,8.8,10
JoJo no kimyô-na bôken,8.5,8
Star Wars: The Clone Wars,8.4,9
The Way Back,6.7,7
Godless,8.3,8
Black Sails,8.3,8
Crown Vic,6.4,7
Man on Fire,7.7,8
Defendor,6.8,7
Isekai Quartet,6.9,8
The Disastrous Life of Saiki K.: Reawakened,7.9,7
Saiki Kusuo no Psi Nan,8.4,7
Scary Movie 5,3.5,5
Magi: Shindobaddo no bôken,7.5,7
How to Train Your Dragon: The Hidden World,7.4,7
Yojo Senki: Saga of Tanya the Evil,7.6,8
Isekai Mao to Shokan Shojo no Dorei Majutsu,7.1,7
Goblin Slayer,7.5,9
Shinchô yûsha ~ kono yûsha ga ore TUEEE kuse ni shinchô sugiru ~,7.4,7
Isekai wa smartphone to tomo ni.,6.7,6
Hunter x Hunter,9,8
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,8.5,10
Tate no Yuusha no Nariagari,8.2,8
Akame ga Kill!,7.9,8
Kono subarashii sekai ni shukufuku o!,7.9,9
Re:Zero kara hajimeru isekai seikatsu,8.2,9
Kakegurui,7.2,9
Made in Abyss,8.4,9
Overlord,7.8,10
Boku no hîrô akademia,8.5,9
No Game; No Life,7.8,8
High School DxD,7.8,8
That Time I Got Reincarnated as a Slime,8.2,9
El hoyo,7,7
Haunt,6.3,7
Mission: Impossible III,6.9,7
The Marine 4: Moving Target,5.1,6
Spenser Confidential,6.2,7
Jumanji: The Next Level,6.7,7
Doctor Sleep,7.3,8
I Am Mother,6.7,7
Jojo Rabbit,7.9,7
Ford v Ferrari,8.1,9
Tokyo Ghoul,7.9,8
1917,8.3,8
Once Upon a Time in... Hollywood,7.6,8
The Last Thing He Wanted,4.3,2
Maximum Risk,5.5,6
Mechanic: Resurrection,5.7,6
Knives Out,7.9,8
Locke & Key,7.5,7
The Shining,8.4,8
Rise of Empires: Ottoman,7.9,9
Midway,6.7,9
The Coldest Game,6.2,7
Coach Carter,7.3,7
The Possession of Hannah Grace,5.2,6
Sand Castle,6.3,8
Faster,6.4,8
Dark,8.8,9
The Informer,6.6,7
Assassin's Creed,5.7,8
Spectre,6.8,7
The Two Popes,7.6,8
Hot Fuzz,7.8,8
Ad Astra,6.5,7
Zombieland: Double Tap,6.7,6
Miami Vice,6,8
Doom,5.2,7
Sausage Party,6.1,7
Danger Close: The Battle of Long Tan,6.8,7
6 Underground,6.1,6
The King,7.3,8
The Next Three Days,7.3,8
Goodfellas,8.7,9
Official Secrets,7.3,8
It Chapter Two,6.5,7
South Park,8.8,10
Not Another Teen Movie,5.7,6
Twelve Monkeys,8,9
Mercury Rising,6.1,7
Deadwood,7.4,8
Scary Stories to Tell in the Dark,6.2,8
The Negotiator,7.3,8
Toy Story 4,7.7,7
Joker,8.4,10
Child's Play,5.7,6
Fast & Furious Presents: Hobbs & Shaw,6.5,7
Crawl,6.1,7
Upside Down,6.3,7
Priest,5.7,6
Death Wish,6.3,7
Criminal,6.3,7
50/50,7.6,9
La migliore offerta,7.8,9
The Ides of March,7.1,8
Aladdin,8.1,9
Aladdin,6.9,4
Black Lagoon,8,8
All the Boys Love Mandy Lane,5.5,6
Anna,6.6,7
30 Minutes or Less,6.1,7
Annabelle Comes Home,5.9,7
Hellsing Ultimate,8.3,7
